V,I
-74.504776,-8.06E-06
-74.006195,-8.02E-06
-73.508492,-7.99E-06
-73.006981,-7.95E-06
-72.508675,-7.91E-06
-72.007149,-7.87E-06
-71.508987,-7.83E-06
-71.007118,-7.78E-06
-70.508835,-7.75E-06
-70.007286,-7.70E-06
-69.508904,-7.67E-06
-69.010735,-7.62E-06
-68.508926,-7.58E-06
-68.01062,-7.54E-06
-67.509041,-7.50E-06
-67.010696,-7.46E-06
-66.509216,-7.41E-06
-66.010422,-7.37E-06
-65.50824,-7.33E-06
-65.009758,-7.29E-06
-64.507744,-7.25E-06
-64.009148,-7.20E-06
-63.510273,-7.16E-06
-63.008041,-7.11E-06
-62.509472,-7.07E-06
-62.007454,-7.03E-06
-61.508938,-6.99E-06
-61.006889,-6.94E-06
-60.508156,-6.90E-06
-60.006416,-6.85E-06
-59.507835,-6.81E-06
-59.005981,-6.77E-06
-58.507248,-6.72E-06
-58.008686,-6.68E-06
-57.506371,-6.64E-06
-57.00769,-6.59E-06
-56.50565,-6.55E-06
-56.007011,-6.50E-06
-55.505135,-6.45E-06
-55.0061,-6.42E-06
-54.504162,-6.37E-06
-54.005543,-6.32E-06
-53.506657,-6.28E-06
-53.005035,-6.24E-06
-52.506634,-6.19E-06
-52.004726,-6.15E-06
-51.506611,-6.11E-06
-51.0051,-6.06E-06
-50.506889,-6.01E-06
-50.005165,-5.97E-06
-49.506527,-5.93E-06
-49.004898,-5.89E-06
-48.506672,-5.84E-06
-48.00861,-5.79E-06
-47.506916,-5.75E-06
-47.00853,-5.70E-06
-46.507294,-5.66E-06
-46.008938,-5.61E-06
-45.507423,-5.56E-06
-45.008976,-5.52E-06
-44.507645,-5.48E-06
-44.008923,-5.43E-06
-43.507294,-5.38E-06
-43.008984,-5.34E-06
-42.510632,-5.29E-06
-42.009109,-5.25E-06
-41.510654,-5.20E-06
-41.008915,-5.15E-06
-40.510616,-5.11E-06
-40.009026,-5.06E-06
-39.510731,-5.01E-06
-39.008686,-4.97E-06
-38.509758,-4.92E-06
-38.011215,-4.87E-06
-37.509224,-4.82E-06
-37.010719,-4.78E-06
-36.508598,-4.73E-06
-36.009789,-4.68E-06
-35.507542,-4.63E-06
-35.008873,-4.59E-06
-34.507008,-4.54E-06
-34.008301,-4.49E-06
-33.506268,-4.44E-06
-33.007748,-4.39E-06
-32.509132,-4.35E-06
-32.007126,-4.30E-06
-31.508541,-4.25E-06
-31.006657,-4.20E-06
-30.507776,-4.14E-06
-30.005545,-4.09E-06
-29.506891,-4.04E-06
-29.004915,-3.99E-06
-28.506258,-3.94E-06
-28.004066,-3.89E-06
-27.505262,-3.84E-06
-27.006577,-3.79E-06
-26.504421,-3.74E-06
-26.005968,-3.68E-06
-25.504372,-3.63E-06
-25.006048,-3.58E-06
-24.504229,-3.52E-06
-24.005947,-3.47E-06
-23.504396,-3.41E-06
-23.005938,-3.36E-06
-22.507685,-3.31E-06
-22.005711,-3.25E-06
-21.507399,-3.19E-06
-21.005993,-3.14E-06
-20.507561,-3.08E-06
-20.00606,-3.02E-06
